josé mourinho	mourinho
642335768132849664	José Mourinho confirma lesão grave de Courtois http://t.co/zYgmlMEc5n	29690355
642731642369540096	Boa tarde a todos. O José Mourinho já foi despedido?	18166038
625624354727030784	RT @ChelseaFC_es: José Mourinho &amp; Thierry Henry. http://t.co/Q4KSsvfn64	81255378
624119993177915392	RT @SoccerSt_: Jose Mourinho enjoying pre-season.. http://t.co/cEr74CEN7q	125003027
630462229171736576	Soccer-Chelsea manager Jose Mourinho http://t.co/1X4NFYxQga	117388746
630660870561927170	Soccer-Chelsea manager Jose Mourinho http://t.co/Ubh8W1KDec	119715650
630612387142307841	Soccer-Chelsea manager Jose Mourinho http://t.co/4V1MP7OvGc	117388746
630728894698512384	Soccer-Chelsea manager Jose Mourinho http://t.co/Hph6NjT7ER	117388746
630049624980594688	Jose Mourinho signs new 4 year contract extension with Chelsea	72721754
630078340175560704	Soccer-Chelsea manager Jose Mourinho http://t.co/7I7355XylP	117388746
629714567174717440	José Mourinho assinou por mais 4 anos com o Chelsea.	20766350
629742508059308033	José Mourinho renovou pelo Chelsea até 2019 http://t.co/Awlh8h3686	50619902
649174637637685249	RT @nefarioustim: @charlie_whiting Replacing Eric Boullier with Jose Mourinho.	30193608
648970908066021376	A maldição de Eva Carneiro continua a assombrar José Mourinho.	20717877
651020881922134016	[DNoticias] Chelsea reitera confiança em José Mourinho http://t.co/q7Lhn5R0I7	485975606
651024433071587328	Chelsea reitera confiança em José Mourinho http://t.co/f5VsOpc0LA	41400946
650363322529792000	Jose Mourinho cleared by FA in doctor dispute	72721754
650393389897252866	RT @DavidBrentMusic: Jose Mourinho right now #CFC http://t.co/uKQGcOzi73	106578450
649335913298923520	RT @PedroDivaio: Je t'aime José Mourinho.  http://t.co/nGH0iIHmpy	20428049
651467030797905920	Rt se falas melhor inglês que o José Mourinho	173650964
638452183629963264	RT @TeamCRonaldo: José Mourinho, you genius😂 http://t.co/Btp90cwJmv	244135934
641635658751152128	@Old_Mans_Beard entao ainda nao viram o ugly jose mourinho jr	19439517
642713684914143236	ÚLTIMA HORA: José Mourinho ainda não FOI DESPEDIDO	51408749
642656209120686080	RT @TeamCRonaldo: José Mourinho, you genius😂 http://t.co/Btp90cwJmv	83360426
642671540673355776	RT @HITCtopcorner: Jose Mourinho be like... #CFC http://t.co/8MMyp7JQwv	107154097
642682559294476288	Bem parece que José Mourinho, vai mesmo perder o campeonato!	59075590
644251617395638272	Chelsea goleia para alegria de José Mourinho http://t.co/bk5dzRLKtT	29690355
643923553184714752	Quando perguntas coisas que irritam Jose Mourinho http://t.co/uxxFfDZlTA	86233091
648925098787913728	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	577062027
648924841421209600	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	3128776397
648927614678269952	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	2282667188
648927823277727744	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	2815531832
648925365042348032	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	2680580179
648924731928739840	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	126978294
648928368273039360	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	1531711705
650358616688619520	Quem salta primeiro: António Costa ou José Mourinho?	524238345
650368600365232128	RT @__arsenalnews_: Jose Mourinho should just bring on Mike Dean.	261806244
651038884147560449	[Observador] Chelsea reitera confiança em José Mourinho http://t.co/awHlKwntCz	485975606
651014837410111488	Chelsea reitera confiança em José Mourinho  http://t.co/TAfJZYdCE2	26276346
651085706694029312	Pauleta likes PSG push for Jose Mourinho and Cristiano Ronaldo	72721754
649362107184640000	Jose Mourinho Cleared Over Club Doctor Row http://t.co/gV9tQ6jYfM	38732601
648670033963524096	Jose Mourinho on Iker Casillas.  #FCPorto http://t.co/8IcDHjvyUF	461554847
648926696457027585	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	2186996071
648926729562664960	RT @kurtneverdie09: Hoje somos todos Portugueses. Carrega José Mourinho ! #CarregaBenfica	1058846414
652220817611354113	RT @Mourinholic: José Mourinho and Jürgen Klopp. http://t.co/4cl8a41kLo	127690935
653460507786125312	Abramovich 'salvou' José Mourinho do despedimento. http://t.co/aPOvr6PJbI	36373505
652084011200851968	José Mourinho rendido a Paulo Sousa. http://t.co/K5xUILDHsI	36373505
653961689612873728	José Mourinho - Draw My Life  https://t.co/YRd74im64B	461554847
653969186142744576	RT @FCPortoWorld: José Mourinho - Draw My Life  https://t.co/YRd74im64B	1002609368
653987698160586752	RT @FCPortoWorld: José Mourinho - Draw My Life  https://t.co/YRd74im64B	240748589
653999744121966592	RT @FCPortoWorld: José Mourinho - Draw My Life  https://t.co/YRd74im64B	2798123514
653678008352567296	Jose Mourinho dressed as a Jedi http://t.co/9FEbPRcvDV”	107888405
655098551605702656	RT @FCPortoWorld: José Mourinho - Draw My Life  https://t.co/YRd74im64B	2819247558
656589513259528192	[O Jogo] Lopetegui superou José Mourinho https://t.co/ni8fdvHQkk #desporto	485975606
656864410561040384	José Mourinho agride adolescente de 14 anos https://t.co/k9vnQtSpGs	178412854
656863024150654976	José Mourinho agride adolescente de 14 anos https://t.co/jBl3rLXgmn	178412854
656862680066695168	José Mourinho agride adolescente de 14 anos https://t.co/z5godxm0QN	178412854
656863070980063232	José Mourinho agride adolescente de 14 anos https://t.co/aZGQESm2Wn	178412854
656866346504974336	José Mourinho: Uma vergonha de pessoa https://t.co/RrbCJSldOw	47450772
659114474968870912	Carlos Carvalhal to replace José Mourinho. 😂 #SWFC #CFC	55374550
660468363622248448	RT @FutballTweets: Bye bye Jose Mourinho! https://t.co/Cglad4cJBj	45927866
660882167870832640	Acionista quer José Mourinho no Monaco https://t.co/fWZv4KBxiJ	31594288
661261034380992516	José Mourinho castigado pela Federação Inglesa https://t.co/7mlLX74kyw	16451028
659462161144545280	José Mourinho promete não baixar os braços https://t.co/u66ol62c9W	447397227
660466851911192577	RT @Squawka: TWITPOLL: Should Chelsea sack Jose Mourinho?	8788992
660489482030985216	RT @nluz: Flash interview de José Mourinho https://t.co/sbecOKW22e	19865728
660487540869365760	Flash interview de José Mourinho https://t.co/sbecOKW22e	18671165
660471968634916864	Estado Islâmico reivindica ter abatido o Chelsea de José Mourinho.	17980026
660423792456392704	José Mourinho ligado ao Real Madrid https://t.co/Lsjbs4Hi2w	31594288
661140023887138816	Chelsea: jogadores estão a tramar José Mourinho. https://t.co/ixtMRiqNXx	36373505
661145747795017728	Jose Mourinho given short leash by Chelsea board	72721754
661206842534662144	Eva Carneiro processa José Mourinho. https://t.co/iagrgfBonM	36373505
657931882013831168	RT @Eurosport_UK: Jose Mourinho after today's game... https://t.co/XB9qW1wz0Z	226206098
657954550427602944	RT @Sarah_091711: I AM 100% BEHIND JOSE MOURINHO💙💙💙💙💙	81255378
658805573476089856	Inglaterra - Mark Hughes defende José Mourinho https://t.co/tgvTKeJPJf	19663485
663330142450749440	Vitor Baia em defesa de José Mourinho https://t.co/FqWcfezoib	29833593
662407840716451840	Agora todo juntos...José Mourinho, José Mourinhoooooo, José MoUuurinho	21489408
662452914640650240	[Sábado] Cristiano Ronaldo solidário com José Mourinho https://t.co/CN4zPoNixM	485975606
663793670504730624	José Mourinho, o eterno Special One https://t.co/Qu3uoaDSXV	86233091
663793829741391873	José Mourinho presente na estreia do filme de Cristiano Ronaldo.	18671165
664111249152577536	Jose Mourinho  makes surprise appearance at Cristiano Ronaldo  movie premiere	72721754
663075020994945024	Há muitas semelhanças entre o governo PaF e José Mourinho	24787524
