joao_moutinho	2014-06-26	110	joao portugal 
eusebio	2015-01-10	2	silva benfica 
tvi	2015-10-20	455	tudo 
vladimir_putin	2015-08-15	170	novo ver 
passos_coelho	2014-07-11	50	coelho passos 
jorge_jesus	2015-05-22	52	jesus noticias jorge 
edp	2015-06-26	29	dia 
londres	2014-09-13	0	via 
partido_popular	2015-10-13	180	antonio costa 
partido_popular	2015-01-24	27	el 
meo	2015-07-09	76	aqui 
porto	2014-12-15	232	quer 
edp	2014-04-27	165	pode 
madrid	2014-03-19	344	real benfica 
correio_manha	2014-12-26	154	es todos el 
londres	2014-04-23	51	tao la 
correio_manha	2015-06-04	481	vou 
partido_comunista	2015-09-07	179	es 
cristiano_ronaldo	2014-01-17	476	cristiano 
partido_popular	2015-02-06	332	el la 
madeira	2014-02-13	310	amp 
partido_comunista	2014-01-18	425	ps 
bruno_de_carvalho	2015-02-20	60	bruno carvalho 
nos	2015-06-20	61	ps hoje 
paulo_portas	2015-07-04	323	portas paulo 
expresso	2015-07-14	0	via 
bes	2015-07-15	71	sempre espirito santo 
expresso	2015-01-11	22	todos 
partido_popular	2014-04-26	465	el 
antonio_costa	2015-02-02	118	hoje antonio diz costa 
galp	2014-06-17	481	bem 
partido_social_democrata	2015-07-05	399	ps 
jeronimo_sousa	2015-09-27	178	jeronimo sousa 
espanha	2015-07-05	139	pais el 
cavaco_silva	2014-01-05	365	passos 
madrid	2015-05-28	93	contra el cristiano 
antonio_costa	2014-09-25	28	todos antonio costa portugal 
partido_comunista	2014-09-13	144	novo vai 
pingo_doce	2014-07-15	157	aqui novo doce pingo 
jorge_jesus	2015-05-16	221	vitoria jesus jorge 
partido_comunista	2015-11-26	209	sobre 
pinto_da_costa	2014-09-22	39	pinto sobre costa 
partido_comunista	2015-10-20	470	portugal 
espanha	2014-12-10	268	portugal 
partido_comunista	2014-04-05	0	via 
cavaco_silva	2015-08-19	80	presidente silva 
acores	2014-10-20	19	dia hoje 
futebol_porto	2015-11-08	295	dizer jesus ainda ver 
continente	2014-09-24	248	anos 
siria	2015-04-30	30	video 
paulo_bento	2014-05-02	369	bento paulo portugal 
edp	2015-07-09	68	lisboa portugal 
inglaterra	2014-09-24	300	agora 
jorge_jesus	2015-03-01	141	ano carregabenfica jesus jorge 
sic	2014-09-27	265	agora 
ruben_neves	2015-10-22	64	fcportoworld fcporto 
madeira	2014-07-26	19	hoje vai 
pingo_doce	2015-08-19	404	pingo 
continente	2014-05-23	295	ainda 
jose_mourinho	2014-01-09	285	ronaldo melhor cristiano 
lisboa	2015-07-04	353	agora 
cristiano_ronaldo	2014-10-13	390	cristiano 
antonio_costa	2015-02-08	389	ps porque antonio sobre costa 
espanha	2014-01-28	142	anos 
jorge_jesus	2014-08-26	121	jesus jorge 
pinto_da_costa	2015-04-15	89	pinto vai costa 
partido_social_democrata	2015-07-11	222	agora 
joao_moutinho	2014-06-03	110	joao 
eusebio	2015-06-02	175	sporting 
tvi	2015-01-05	39	pinto sobre ver 
italia	2014-04-19	10	sporting en 
barack_obama	2014-05-11	110	real 
acores	2014-10-28	186	presidente governo coelho passos 
luis_figo	2015-08-23	347	ronaldo jogo rui costa 
antonio_costa	2015-03-12	167	vez antonio costa 
partido_socialista	2014-01-01	420	presidente 
espanha	2015-07-13	488	via diz portugal 
barack_obama	2014-05-31	233	ps passos vai costa 
portugal	2014-01-03	109	aqui 
luis_figo	2015-04-06	59	presidente 
dn	2015-02-11	273	diario agora noticias 
partido_popular	2014-02-23	246	novo 
jose_mourinho	2015-01-11	31	rui 
bruno_de_carvalho	2014-10-15	107	amp bruno carvalho 
siria	2015-07-30	24	en la 
italia	2014-01-24	433	noticias 
pinto_da_costa	2014-07-11	55	mundo pinto agora vai costa 
cavaco_silva	2014-02-24	424	grande 
paulo_bento	2014-07-09	122	bento paulo 
futebol_porto	2014-02-28	209	dia hoje sobre 
paulo_portas	2015-01-23	66	portas passos paulo 
dn	2015-03-28	260	pais noticias portugal 
bes	2014-02-03	3	espirito santo fazer vai 
espanha	2014-06-10	275	tudo 
madeira	2015-11-15	25	cristiano 
expresso	2015-12-02	235	costa 
madrid	2014-01-26	54	real benfica cristiano 
pinto_da_costa	2014-01-21	308	pinto ver costa 
benfica	2014-04-23	137	grande es carregabenfica 
cristiano_ronaldo	2015-11-24	91	cristiano 
lionel_messi	2014-03-13	91	del cristiano 
luis_figo	2015-09-06	144	porto 
marcelo_rebelo_sousa	2014-09-13	18	jornal rebelo marcelo sousa diz 
vodafone	2015-09-09	235	costa 
jose_mourinho	2015-11-01	360	jose 
alentejo	2015-07-09	90	video 
antonio_costa	2014-12-14	382	antonio costa 
benfica	2015-05-17	320	carregabenfica 
antonio_costa	2015-04-19	180	governo antonio costa 
sonae	2015-04-10	28	jose antonio 
bloco_esquerda	2015-01-21	219	fcporto 
partido_comunista	2014-07-09	400	joao 
porto	2014-02-12	68	presidente lisboa sobre 
bes	2014-10-19	216	espirito santo 
jeronimo_sousa	2014-10-29	195	jeronimo governo sousa 
ruben_neves	2015-07-03	490	porto 
partido_comunista	2015-07-25	237	porto 
expresso	2014-12-17	168	contra 
portugal	2014-06-05	171	cristiano 
edp	2014-09-23	417	mundo 
paulo_portas	2015-06-15	63	presidente novo portas ainda paulo 
pingo_doce	2014-09-14	279	doce pingo hoje 
espanha	2015-06-11	39	jogo desporto costa 
jose_mourinho	2015-07-28	140	jose ronaldo cristiano 
bes	2015-10-25	368	espirito santo 
russia	2015-08-20	237	quer 
jeronimo_sousa	2014-07-12	195	jeronimo sousa 
jorge_jesus	2015-08-22	243	desporto jesus jorge 
madeira	2015-08-29	343	futebol 
tvi	2014-11-24	134	ir pode diz la 
madrid	2014-10-22	23	cristiano 
nos	2015-07-03	277	pais 
jeronimo_sousa	2014-07-01	182	jeronimo sobre sousa 
ruben_neves	2014-08-23	277	fcporto 
rui_vitoria	2015-02-28	66	vitoria rui desporto 
algarve	2014-03-20	123	portugal 
jose_mourinho	2014-09-11	154	el 
luis_figo	2014-11-08	30	porque la 
sic	2014-11-25	110	joao hoje sobre 
rtp	2014-02-15	69	jogo porque ver 
paulo_bento	2014-05-30	356	ronaldo bento ver vai paulo 
partido_comunista	2015-03-16	245	ps 
sonae	2015-04-02	81	diario governo 
sic	2015-09-04	335	ver 
vodafone	2014-07-14	156	vou 
algarve	2015-10-05	486	hoje 
portugal	2015-04-02	203	vai 
londres	2015-11-23	140	cristiano 
pinto_da_costa	2014-12-04	428	pinto portas costa 
nos	2015-10-16	0	grande vitoria 
luis_figo	2015-08-31	422	ronaldo 
jorge_mendes	2015-07-12	70	mendes grande el la jorge cristiano 
italia	2014-07-21	290	del 
pt	2014-12-08	145	diz 
expresso	2014-08-16	6	quer 
inglaterra	2014-04-02	30	video dia vai 
rtp	2014-07-02	189	carvalho 
passos_coelho	2015-10-26	173	anos coelho passos 
bruno_de_carvalho	2015-06-15	60	bruno carvalho 
algarve	2015-09-27	90	ainda 
antonio_costa	2015-02-11	150	silva antonio costa 
benfica	2015-04-19	306	dizer carregabenfica 
zara	2014-11-21	336	bem 
apple	2015-09-27	5	dia ainda 
jorge_jesus	2015-01-12	33	ronaldo benfica jesus ver la jorge 
meo	2015-04-21	406	fazer 
edp	2015-07-21	76	ano 
rtp	2015-06-27	291	dia noticias 
tvi	2014-11-26	69	porque 
cristiano_ronaldo	2015-10-29	58	cristiano lisboa 
iker_casillas	2014-03-27	10	es contra en la 
luis_figo	2015-11-20	48	ver agora 
jose_mourinho	2014-01-24	134	jose ir 
luis_figo	2015-05-01	23	porque 
porto	2014-04-22	202	rui 
alentejo	2014-11-24	169	portugal 
alentejo	2014-08-02	7	porto 
paris	2014-11-21	188	lisboa 
benfica	2015-08-11	69	sempre carregabenfica 
benfica	2014-11-12	60	nada bruno 
madrid	2014-10-16	465	en 
expresso	2014-10-11	196	sobre 
espanha	2015-01-23	371	desporto 
antonio_costa	2015-08-08	235	antonio costa 
cristiano_ronaldo	2014-07-27	88	real cristiano 
portugal	2015-10-24	320	carregabenfica 
pingo_doce	2015-01-04	410	doce pingo 
ruben_neves	2015-10-05	19	del anos porto 
acores	2014-02-22	29	ps noticias 
sic	2015-08-11	46	dizer quer rui tudo 
paulo_bento	2015-03-23	397	bento agora paulo 
madrid	2015-01-27	285	ronaldo real cristiano 
bruno_de_carvalho	2014-05-09	75	bruno carvalho 
siria	2015-06-16	239	porque sobre 
cristiano_ronaldo	2015-10-02	386	cristiano 
barack_obama	2014-03-08	310	amp 
paulo_bento	2015-10-22	397	bento paulo 
iker_casillas	2015-01-26	88	real 
algarve	2015-06-09	458	portugal 
marcelo_rebelo_sousa	2014-06-15	18	rebelo marcelo sousa 
joao_moutinho	2014-05-06	393	vou ainda 
lionel_messi	2015-07-27	321	ronaldo 
bloco_esquerda	2014-08-29	140	cristiano 
algarve	2014-10-28	90	video 
barack_obama	2015-06-10	204	jesus 
bes	2014-12-28	71	santo espirito 
observador	2014-03-25	252	anos 
paulo_bento	2015-08-28	74	bento benfica paulo 
londres	2014-12-26	452	ainda 
catarina_martins	2015-02-27	56	catarina martins agora 
iker_casillas	2014-02-27	332	el via la 
alentejo	2015-09-07	104	sempre portugal 
paulo_portas	2014-03-30	14	portas bruno paulo 
edp	2015-09-03	1	quer costa 
nos	2015-10-18	112	tao 
pingo_doce	2014-06-11	279	doce pingo vai 
alemanha	2014-06-15	25	pais grande porque 
tvi	2015-02-20	21	anos la portugal 
partido_popular	2015-01-17	321	del 
espanha	2014-04-11	93	aqui vou dia ver la 
iker_casillas	2014-03-07	26	cristiano 
italia	2015-03-09	458	desporto 
luis_figo	2015-07-02	194	rui costa portugal 
russia	2015-02-13	32	melhor 
alentejo	2014-02-17	103	via portugal 
continente	2015-04-26	134	ir 
jose_mourinho	2015-09-20	172	del es todos 
passos_coelho	2014-01-17	173	coelho diz passos 
bes	2014-11-17	218	espirito santo 
futebol_porto	2015-01-24	64	fcporto 
pinto_da_costa	2015-07-27	39	grande fcporto pinto costa 
partido_comunista	2014-03-28	171	ps contra 
futebol_porto	2014-07-13	381	ainda 
rtp	2015-05-09	229	sobre 
tvi	2015-10-29	69	dizer agora 
vodafone	2015-03-19	242	dizer 
pinto_da_costa	2015-03-29	39	pode fcporto pinto jorge costa 
siria	2014-11-08	163	dizer noticias la 
marcelo_rebelo_sousa	2014-06-17	73	rebelo marcelo sousa 
lionel_messi	2014-01-12	497	tao 
benfica	2014-06-27	115	tao vou grande diz 
bloco_esquerda	2014-12-10	257	amp 
futebol_porto	2014-05-14	166	dia ver 
bes	2014-12-27	414	espirito santo 
jorge_mendes	2015-06-21	33	mundo mendes grande melhor jorge 
correio_manha	2014-05-29	227	lisboa hoje 
russia	2014-07-26	0	via 
bruno_de_carvalho	2015-08-06	102	bruno carvalho hoje 
madrid	2015-08-07	171	amp real cristiano 
paris	2014-03-14	76	aqui vou 
rui_vitoria	2015-05-30	0	ir pode vitoria rui desporto 
meo	2015-10-08	29	bruno 
italia	2014-10-31	67	el 
paulo_bento	2014-11-30	122	bento paulo 
jose_mourinho	2014-09-06	160	la cristiano 
catarina_martins	2015-10-17	56	catarina martins via 
expresso	2014-12-12	274	diario 
apple	2014-03-03	0	via 
julen_lopetegui	2015-10-01	64	fcportoworld fcporto 
passos_coelho	2015-08-06	200	hoje coelho passos 
paulo_portas	2015-01-28	115	grande paulo 
partido_socialista	2014-02-26	405	sobre 
inglaterra	2014-02-20	0	via 
jorge_mendes	2014-05-28	278	mendes pinto jorge 
paulo_portas	2015-05-18	323	portas diz paulo 
acores	2015-04-10	0	via 
eusebio	2014-05-23	114	desporto presidente 
benfica	2014-03-05	160	mundo melhor 
benfica	2015-01-12	306	carregabenfica 
marcelo_rebelo_sousa	2014-06-27	18	rebelo marcelo tudo sempre sousa 
antonio_costa	2014-07-03	167	antonio costa 
madeira	2015-10-18	41	cristiano 
apple	2014-01-28	143	pode 
cavaco_silva	2015-02-16	491	presidente 
jose_mourinho	2014-09-09	465	pais en el 
observador	2014-01-29	51	tao 
russia	2014-07-13	172	la 
portugal	2015-05-06	442	video 
iker_casillas	2014-11-02	88	real cristiano 
partido_social_democrata	2014-05-13	43	diz 
porto	2015-11-28	284	carregabenfica 
italia	2014-02-12	320	lisboa 
alemanha	2014-10-20	446	presidente 
ruben_neves	2015-03-31	100	pinto portugal 
luis_figo	2014-07-05	453	futebol 
algarve	2015-08-26	477	portugal 
iker_casillas	2015-10-05	309	fcportoworld jogo fcporto 
partido_popular	2015-01-02	27	del la 
bruno_de_carvalho	2015-10-25	75	presidente bruno carvalho 
cavaco_silva	2015-03-30	125	tudo bem 
sporting	2014-03-26	156	grande sempre 
julen_lopetegui	2014-07-08	481	ver 
rui_vitoria	2015-08-14	198	vitoria rui benfica 
galp	2014-11-23	74	rui 
passos_coelho	2015-07-22	105	tao porque coelho passos 
sporting	2015-05-17	198	jornal silva rui 
porto	2015-03-14	64	fcporto 
partido_popular	2014-06-20	280	es el la 
italia	2014-02-05	54	contra benfica ver 
barack_obama	2015-01-03	135	antonio 
lionel_messi	2014-02-02	190	es la cristiano 
partido_socialista	2014-05-07	441	dia 
madrid	2014-08-01	212	cristiano 
lionel_messi	2014-12-31	58	cristiano 
pingo_doce	2014-11-29	410	pingo 
vladimir_putin	2014-02-11	0	via 
