passos_coelho,2014-06-05,juizes,constitucional,tribunal,tc,perfil,leaodealvalade,bem,necessidade,diz,escolha,pensadorzarolho,dizer,mercados,andrebeja,passar,arranjar,vitriolica,poder,win,contra
passos_coelho,2015-09-04,entrevistas,recusa,doenca,pm,digam,tvi,ta,gato,portuguese,dar,bento,rtp,faz,milhares,nota,digo,costa,proximo,li,solucao
passos_coelho,2015-03-21,eduardo,martins,jppir,andar,jose,gostava,dn,duas,nome,irao,via,omalestafeito,alto,queiroz,vender,dar,cargo,politica,europeu,quero
paulo_bento,2014-09-01,postiga,fundo,jtfigueiredo,clube,tratar,perfeito,argumento,arranjar,epoca,squad,hugo,convocar,voltar,almeida,ia,fcportoworld,quaresma,mundo,falta,pode
passos_coelho,2014-02-21,entrada,congresso,junto,rir,psd,perde,vergonha,dizer,grande,ouvir,discurso,pedro,argumento,vai,mftvi24,melhor,seguro,favor,alguma,tempo
passos_coelho,2014-09-21,salario,minimo,carga,breve,prazo,reducao,fiscal,trabalhar,aumento,decisao,tecnoforma,interior,governo,ppdpsd,lei,sobre,desculpas,pedro,deputado,nacional
passos_coelho,2015-10-24,esquerda,motivo,explica,haver,right,left,sondagens,governo,portugal,president,13,onde,simples,twitter,pedro,vai,cavaco,gestao,ditadura,agora
paulo_bento,2014-03-22,copa,destruir,convoca,cr7,maneira,unica,fcportoworld,brasil,quaresma,lado,toda,seleccao,mundial,ir,vai
passos_coelho,2014-03-09,minho,noticia,ruicruz,dizem,mulher,declaracoes,diario,ministro,tugaleaks,crescer,obviamente,ricos,regressar,tomasvasques,limites,li,titulo,almaradona,recordar,bem
passos_coelho,2014-04-25,assuncao,esteves,barroso,durao,abril,salhelder,verdadeiro,25,democracia,gente,recebeu,vitriolica,cavaco,silva,avo,liberdade,andou,fugir,diferenca,tv
paulo_bento,2014-03-08,opcoes,respeito,jardim
paulo_bento,2014-06-27,ti,dizem,2016,ditadura,gomes,fala,perna,lesionados,ganhava,costas,primeiro,jogo,fpf,tantos,mftvi24,portugueses,niltoncomedy,euro,porque,fernando
passos_coelho,2014-09-18,rendimentos,investigado,tecnoforma,sabado,pagamentos,recebido,nada,deputado,euros,errado,nega,citius,morais,justica,estara,exclusividade,omalestafeito,mil,valor,investigacao
passos_coelho,2015-03-05,socrates,comedia,moral,feitas,miseria,atacar,piada,dificil,niltoncomedy,fica,vem,cada,perto,vez,imediata,fazer,deixa,demissao,jose,acusa
paulo_bento,2015-08-10,scp,pequeno,continuam,atras,rua,jesus,pq,ficou,perder,podem,benfica,nunca,anos
passos_coelho,2014-05-12,estrategia,17,maio,marca,anunciar,ministros,conselho,pedrotomas1975,ht,futuro,dia,enviar,interesse,nisso,pensadorzarolho,eua,ultimos,governo,cds,vamos
paulo_bento,2015-07-05,taca,entrar,soares,captomente,10,fdesempregado,final
passos_coelho,2014-11-04,efeito,prefere,massama,pq,pacabral,merkel,ficou,acha,inimigo,porque,mal,durao,barroso,ausencia,trabalho,mil,oposicao,portugal,revela,tvi24noticias
passos_coelho,2014-02-24,relvas,papa,perante,milagre,pediu,miguel,niltoncomedy,presta,natalidade,puta,nada,cor,moral,pfl1976,compromissos,assumiu,cgtp,angela,falhou,cabelo
passos_coelho,2015-10-29,17,ministros,vitoria,rui,vai,acha,sabe,governo,inimigo,porque,cavaco,acimadetudoportugal,precarios,mallopes,explicar,sic,pai,va,constitucional,antonio
paulo_bento,2014-09-17,marco,demitido,silva,vitor,tres,publicidade,falta,dois,teimoso,imprensa,recordportugal,sporting,dias,banca,cheirame,fcporto,estilo,alves,fara,meireles
paulo_bento,2015-09-05,causa,contra,ainda
paulo_bento,2014-06-25,gana,acontecer,jogo,outros,demite,sai,maisportugal,cargo,amanha,queiroz,gostar,ti,raminhoseffect,mundial2014,fica,ninguem,selecionador,seleccao,vai,lugar
passos_coelho,2015-08-07,comigo,relacao,herminiocerq,carta,viseu,feira,portugueses,paf,htt,leia,mudar,fb,acordo,primeira,portas,pedro,gt,si,medidas,vez
passos_coelho,2014-11-24,europeus,fundos,politicos,anuncia,desemprego,socrates,prisao,final,ano,venda,todos,pessoas,ferias,diz,anunciou,tecnoforma,encontra,europa,ong,processos
paulo_bento,2015-02-09,pensa,selecao,desporto,paulobento,zerozero,selecionador,lista,record
paulo_bento,2014-08-27,fonte,quis,jesus,conta,rui,preferia,falhar,treinado,ainda,henrique,alves,albania,zerozeropt,bruno,cabeca,omalestafeito,jogo,selecao,sapodesporto,medio
passos_coelho,2014-09-09,diferenca,saida,toda,troika,faz,primeiroministro,diz,bom,longo,impostos,pires,grego,encontro,lima,hoje,seguro,questao,caminho,sacrificios,sinais
passos_coelho,2014-01-05,memoria,pedro,orgulho,bandeira,levou,nunca,quatro,primeiroministro,morto,mundo,genio,futebol,portugal,tecnico,fhenriques,homenagem,ministro,primeiro,benfica,recordportugal
paulo_bento,2014-05-14,andre,gomes,adrien,now,fcportoworld,genio,cedric,diga,linha,almeida,campo,diogocmoreira,passar,meio,ve,alguem,outro,futebol,grande,mundial
paulo_bento,2015-10-09,lica,onze,prefere,tantos,apesar,captomente,ia,ficar,banco,joaomiranda,gt,selecao,seguro,parece,tempo,eleicoes,bom,melhor,tudo
passos_coelho,2015-09-06,campanha,eleitoral,sob,medida,anda,tao,tiagoant,estar,socrates,deve,fazer,dntwit,escolheu,publico,maioria,mentiras,quer,proximo,entrevista,sabe
paulo_bento,2014-02-23,grupo,euro2016,destaca,qualificacao,campeonato,portugal,possibilidades,albania,rejeita,fase,2016,todas,brasil,europa,desporto,ambicao,apuramento,passam,hino,tomates
passos_coelho,2015-07-07,guerra,exigir,grecia,esforco,acha,domingosmiguel,portugueses,declarou,sociais,medidas,memoria,barroso,situacao,vao,itwitting,pach211,maria,grande,pais,morte
passos_coelho,2015-06-02,jornais,biografia,madeira,moral,capacidade,conhece,sol,exemplo,homem,pedrosales,hora,mundo,ultima,bossito,imprensa,esquerda,merda,visita,dao,presente
paulo_bento,2015-02-03,valor,queda,comentario,resultados,video,htt,diarioeconomico,portugal
paulo_bento,2014-10-29,apuramento,melgamike,russia,estilo,dao,ahahah,razoes,todo,vamos,mundial,assim
paulo_bento,2014-07-10,primeiros,perceber,alemanha,boloposte,colocou,cr,alias,eder,investimento,josedepina,lembro,bater,espirito,santo,espanha,amigos,mendes,jorge,banco,bifeahcasa
passos_coelho,2014-01-13,ronaldo,cristiano,cedo,joaovale,win,pedro,cr7,vitriolica,zerozeropt,congresso,portugues,desporto,aniversario,entrou,internacional,selecao,ojogo,lideranca,vejo,cds
paulo_bento,2014-07-17,mundial,fez,prestacao,trocar,del,tudo,cai,servico,continuam,companhia,posicao,bonito,fifa,renovacao,scolari,alguns,via,seleccionador,seguir,captomente
paulo_bento,2014-10-05,12,caras,idesporto,novas,ultimas,vs,santos,fernando
passos_coelho,2015-03-18,vip,seguranca,bolsa,contribuintes,demitirse,existe,fiscais,mentiu,lista,social,fez,pach211,nunca,bem,vaise,dados,sabia,diz,via,afirma
passos_coelho,2015-10-22,cavaco,formar,silva,primeiroministro,governo,pedro,indigitar,republica,presidente,ultima,hora,indigitado,20,vai,estado,bifeahcasa,ps,rtpnoticias,ganhou,natural
passos_coelho,2014-07-22,pedir,oficial,candidato,medidas,cavaco,garante,estar,vice,lingua,silva,cumpre,entrada,decidir,escreve,consciencia,cimeira,apoia,normal,entrar,belem
passos_coelho,2014-05-18,tratado,avisa,orcamental,ps,amaral,rapaz,tom,demasiado,dias,pedir,roubo,projecto,provas,modo,limites,aproveitar,pedro,noticiaaominuto,aldrabao,partidos
passos_coelho,2015-02-08,grecia,motivo,uniao,europeia,usar,subsidios,valor,diz,ruicruz,recebeu,deixar,apos,liberdade,manuel,programa,amigo,maneira,primeiro,ajudar,europa
paulo_bento,2015-08-04,cheio,percebi,nada,falar,porque
paulo_bento,2014-02-20,campinas,satisfeito,desporto,viu,ambicao,lusanoticias,bola,futebol365,escolha,eleitos,base,importancia,almaradona,chamado,esperanca,espanha,convocar,dificil,zerozero,quase
passos_coelho,2015-08-20,guerra,caro,atacar,usa,quer,antonio,costa,inimigo,muda,total,cdspp,papel,nome,youtube,palmas,webmarkpt,conseguido,negocios,site,faco
passos_coelho,2014-05-27,participar,contribuintes,corre,cvazmarques,porque,seguro,risco,gostam,vai,fez,perder,mercados,mudanca,ps,vida,conferencia,convocar,sair,portugueses,comissao
paulo_bento,2014-11-25,prisao,comentario,jose,socrates,video,presidente
passos_coelho,2014-01-17,psd,mocao,raio,leal,manel,teresa,jsd,joaomhenrique,querer,deputados,catarina,acusa,martins,lideranca,referendo,desempregados,milhares,filhos,natalidade,margvs
passos_coelho,2014-03-04,faz,vicente79,daniel,conheco,oliveira,tipo,mal,nada,trazer,dever,fatimard,criticas,esperanca,ainda,apesar,todas,relvas,volta,verdade,melhor
passos_coelho,2015-03-04,social,seguranca,pagar,pinoquio,magalhaes81,parlamentar,impostos,fuga,dividas,maioria,madrid,pedro,imediata,pm,muitos,pensadorzarolho,processos,demissao,vida,cinco
passos_coelho,2014-09-11,paulo,solidariedade,bento,demitir,deviam,tb,portas,todos,sugere,termos,europeias,ministra,justica,cavaco,relacao,entrega,desde,orelhas,bes,imaginar
paulo_bento,2015-11-17,verao,seleccionador,passou,possivel,2014
passos_coelho,2015-03-02,social,seguranca,el,categoria,primer,paga,pago,diz,cinco,preciso,sabia,chineses,durante,anos,porta,empresarios,tbribeiro,pagar,divida,homens
passos_coelho,2014-07-13,peca,niltoncomedy,merkel,amanha,dinheiro,bem,carro,empresas,lisboa,amigos,margvs,tsfradio,queria,tecnoforma,enviar,economia,foto,pensadorzarolho,sms,pai
paulo_bento,2014-11-11,nada,devera,preco,subir,ojogo,analise,pt,passado,santos,fala,ler,video
passos_coelho,2014-11-20,campeoes,acredita,liga,ganhar,18,direitos,troca,sr,dr,vai,eleicoes,rtp,euros,notavel,gold,ainda,champions,milhoes,agradecer,vistos
paulo_bento,2014-05-17,tiago,gajo,disse,voltou,disponivel,adrien,pouco,rui,sporting,santos,entrevista,mundial,contra,2008,tava,ya,preconvocatoria,merecia,vez,grupos
passos_coelho,2015-01-04,lisboa,significado,elevado,ganhe,lourenco,capucho,proximas,tvi24iol,novo,portugal,politico,eleicoes,fiquei,tudo,cavaco,antonio,curioso,cmjornal,claro,sol
passos_coelho,2014-06-24,precarios,pedem,mentir,publico,abraco,europa,questiona,superior,razoes,espirito,estado,santo,problemas,mudar,grupo,conselho,selecao,seguro,dar,alguem
passos_coelho,2014-06-21,discussao,tomou,lideranca,forte,ps,anos,quer,posse,golpe,apelo,observadorpt,promessas,aprendeu,tres,diz,hoje,apos,constituicao,lei,salgado
passos_coelho,2015-01-21,terrorismo,lilianavalente,cooperacao,meios,resposta,x2,lindo,custa,menino,saudades,reducao,numeros,ok,defice,chegar,olha,eleicoes,cria,justificar,suficiente
passos_coelho,2014-05-10,seguro,europa,dia,rangel,possibilidade,domingo,madeira,legislativas,apos,paulo,dr,coligacao,volta,joao,campanha,ontem,governo,politica,roubo,eheh
passos_coelho,2014-03-24,viseu,cortes,abre,abril,postroika,psd,debate,defende,2015,hoje,visao,inicio,confirma,financas,anacatarinasant,cgd,criou,dia,espera,publicas
passos_coelho,2014-01-08,aeroporto,visitar,vindo,alemao,angela,vive,visto,merkel,mundo,onde,inimigo,estrela,iria,afirma,ia,democrata,memorando,presidencia,luisgrave,motivo
passos_coelho,2014-05-11,coerente,continuo,importante,manter,tiagoant,expresso,discurso,vidademigalhas,convite,prefere,massama,gente,tugaleaks,provar,rendimento,lavelas,bancos,declarou,jsd,garantir
passos_coelho,2014-03-01,rangel,carlos,jardim,deputado,alberto,paulo,europeu,joao,relvas,diz,convidou,intencao,publico,trazer,feantur,convidado,pedro,recusou,crianca,pensa
passos_coelho,2015-09-05,pai,fome,filho,reforma,ganha,diz,tudo,inimigo,entrevista,certa,pedro,costa,lucianoalvarez,recusou,podera,ir,jantar,socrates,portugalafrente,10
