apple,2015-02-20,presidente,marcelo,pode,vitoria,ver,sempre,doce,pais,anos,grande
cristiano_ronaldo,2014-08-05,fcporto,bem,tudo,sousa,bruno,porto,joao,diario,mundo,vai
antonio_costa,2015-03-10,amp,video,sempre,carvalho,fcportoworld,hoje,ano,desporto,vai,diz
portugal,2014-01-09,tao,vitoria,melhor,jornal,sporting,jesus,sousa,benfica,el,vez
cristiano_ronaldo,2015-05-03,rui,dia,ainda,fazer,passos,melhor,vai,novo,pode,sporting
paulo_portas,2014-05-08,portas,martins,real,nada,fazer,grande,carregabenfica,ver,espirito,la
rui_vitoria,2014-01-02,porque,anos,lisboa,dizer,jorge,sempre,amp,martins,governo,mundo
passos_coelho,2014-03-05,ps,el,cristiano,lisboa,video,ano,ir,amp,futebol,fcportoworld
madeira,2014-09-14,jose,noticias,benfica,porque,vez,presidente,bem,rebelo,ps,passos
partido_popular,2014-06-02,porque,fcportoworld,ano,video,vou,melhor,tudo,pode,noticias,la
espanha,2015-11-30,pais,hoje,en,jorge,espirito,futebol,diario,sobre,es,joao
nos,2015-03-11,mundo,la,martins,mendes,portas,bento,grande,portugal,aqui,doce
pingo_doce,2015-10-29,amp,ir,espirito,video,jornal,porto,diz,dia,antonio,contra
jorge_mendes,2015-03-05,desporto,futebol,en,es,pais,todos,vou,vez,grande,portas
galp,2014-10-12,futebol,pinto,quer,porque,coelho,costa,joao,sousa,pingo,el
partido_popular,2014-07-30,governo,doce,aqui,nada,sobre,fcportoworld,desporto,agora,vai,jose
sporting,2015-01-31,lisboa,cristiano,porto,bento,rebelo,vou,doce,ano,joao,jeronimo
bruno_de_carvalho,2015-04-14,diario,doce,hoje,costa,agora,rui,fcporto,contra,mundo,quer
dn,2015-07-18,pode,sousa,governo,antonio,real,coelho,ver,pingo,sempre,anos
futebol_porto,2014-12-29,grande,lisboa,ir,sousa,jornal,silva,porque,es,sporting,noticias
porto,2015-03-24,dizer,en,carvalho,contra,mendes,bento,tao,mundo,ir,rebelo
bruno_de_carvalho,2015-08-08,catarina,anos,portas,carvalho,aqui,contra,costa,mundo,rebelo,rui
jorge_jesus,2014-11-26,quer,dia,jornal,porque,aqui,catarina,el,todos,pais,coelho
londres,2015-11-03,real,bruno,ano,doce,bem,diario,porto,ir,carregabenfica,anos
rui_vitoria,2015-09-28,del,passos,video,martins,carregabenfica,jorge,todos,portas,antonio,rui
cavaco_silva,2014-04-04,diz,pinto,sousa,dia,ps,amp,tudo,bruno,passos,silva
futebol_porto,2014-06-03,sousa,silva,bem,todos,tao,noticias,desporto,real,diz,portugal
italia,2015-01-25,carvalho,mendes,vou,el,portas,quer,sousa,ps,costa,pingo
antonio_costa,2014-07-13,aqui,mundo,dia,passos,video,quer,santo,jeronimo,vitoria,joao
jose_socrates,2015-10-09,ronaldo,novo,bento,hoje,jesus,bem,martins,joao,fcporto,tao
madrid,2014-08-05,del,jeronimo,melhor,ronaldo,noticias,rui,sempre,antonio,santo,amp
julen_lopetegui,2014-06-30,del,amp,desporto,dizer,pais,mendes,ainda,ronaldo,presidente,jesus
galp,2014-04-17,sousa,governo,fcportoworld,futebol,todos,jose,agora,vitoria,nada,santo
futebol_porto,2015-03-19,ver,martins,grande,governo,jose,ainda,dizer,sobre,coelho,el
benfica,2014-10-14,futebol,quer,del,jeronimo,desporto,costa,coelho,en,benfica,carregabenfica
tvi,2015-09-20,mundo,amp,contra,jose,jornal,dizer,video,jorge,hoje,pingo
lisboa,2015-01-24,passos,costa,video,melhor,nada,novo,jose,sporting,doce,es
algarve,2015-03-30,mundo,silva,vai,dia,ver,presidente,martins,tao,la,hoje
pt,2014-08-10,bento,porto,fazer,jesus,jorge,ver,rui,la,bruno,anos
benfica,2015-08-01,real,tudo,noticias,ver,pingo,vez,contra,martins,futebol,bruno
rui_vitoria,2014-12-04,diario,governo,tudo,jornal,vai,desporto,bento,noticias,amp,jeronimo
pt,2014-08-18,jose,pais,jesus,diz,es,santo,la,amp,doce,sempre
alentejo,2015-07-21,bem,porto,rebelo,diario,ainda,catarina,bento,el,ano,aqui
tvi,2014-08-03,novo,passos,sporting,contra,bruno,martins,quer,la,sobre,vez
edp,2015-10-03,vou,porque,ver,melhor,dizer,carregabenfica,antonio,ps,jose,sousa
tvi,2015-09-10,marcelo,es,jorge,pingo,tudo,bruno,vitoria,coelho,hoje,paulo
sporting,2014-01-28,la,espirito,carregabenfica,coelho,carvalho,diz,sousa,ainda,diario,vou
bes,2015-05-16,martins,ir,jogo,jorge,es,anos,fcporto,vitoria,pinto,el
passos_coelho,2015-09-08,tudo,del,rui,espirito,passos,silva,bem,doce,fazer,real
ruben_neves,2015-10-13,ver,vez,mendes,el,noticias,ps,bruno,anos,fcporto,todos
observador,2014-05-22,mendes,bem,grande,rui,costa,jeronimo,pinto,bento,coelho,sousa
italia,2014-08-20,quer,doce,la,jose,novo,benfica,pais,bem,es,tudo
lionel_messi,2014-02-17,porque,grande,pinto,presidente,antonio,doce,rebelo,tao,dia,vitoria
publico,2014-01-25,contra,aqui,antonio,lisboa,jorge,dizer,diz,governo,rui,silva
rui_vitoria,2015-06-07,fazer,el,mundo,bem,la,porque,espirito,bento,futebol,mendes
futebol_porto,2015-10-20,vez,costa,contra,jogo,portas,bem,tudo,anos,el,ronaldo
cavaco_silva,2015-09-03,sempre,mendes,presidente,video,rebelo,governo,novo,benfica,sobre,jogo
